[REVIEW] what is going through this mans mind. His homework is so long you'll be spending the rest of your week working on his homework. I get it, its a online class & a 300 level class but to horde us with this much amount of busy work is crazy at that point I'm not learning anything I'm just trying to finish the homework to get it done by the due date smh | Quality: 1.0 | Difficulty: 5
[REVIEW] His lectures what is on his slideshow so you could watch the videos instead. The issue however is that his homework is sometimes nothing like what he teaches in class. He gives homework from the textbook and problems he made himself. The ones he makes himself are really bad, but quiz r easier. | Quality: 1.0 | Difficulty: 4
[REVIEW] Do not take this class with him unless u want to end up spending 12 hours a week on hw alone. So much hw given out each week it's honestly insane. Not to mention you have to record ur self explaining answers?? Try not to take it with Scott. To his credit the actual lectures are fine but amount of hw is insane. | Quality: 2.0 | Difficulty: 5
[REVIEW] He's almost like a bully. Gives a lot homework due every Sunday w/ quiz every Monday (worths 25% each). makes us record how we did the quiz including that since this class was online, there's module review questions due every Friday which is worth 10%.He substituted projects for exams which are worth 15% each. Would not recommend this class w/ him. | Quality: 1.0 | Difficulty: 5
[REVIEW] Structured class. Lots of help. He never put in the grade for the final exam. | Quality: 3.0 | Difficulty: 3
[REVIEW] Kind And Understanding, So Helpful, Amazing, Laudable | Quality: 4.0 | Difficulty: 3
[REVIEW] Controls is a difficult subject, but Prof. R makes sure to take it step by step so that we can keep up with it. Every week there is an online MC review quiz, a homework assignment, and an in class quiz. It sounds like a lot of work, but if you keep up with it you'll have an A. Exams are also pretty easy. Very straightforward class. | Quality: 5.0 | Difficulty: 3
[REVIEW] He's a very caring professor and ensures that he's clear on what he's teaching before he moves on. He provides lecture recordings as well as the pre-recorded videos from online classes. Willing to help you understand in the simplest way. Straight forward and clear about expectations and clearly wants you to succeed. | Quality: 5.0 | Difficulty: 3
[REVIEW] I really like how his class is structed, its pretty much the same thing every week. zybooks hw, quiz, lab and project. He is a great teacher and for online at least, there are no big exams. Just two open ended projects that he fully prepares you for. He also offers extra credit every week if you attend the optional coding sessions. Take him! | Quality: 5.0 | Difficulty: 3
[REVIEW] Very good teacher. Explains material thoroughly. Have to admit that for an intro class, It is hard for first time programmers, but if you do work, you'll get through. | Quality: 5.0 | Difficulty: 4
[REVIEW] He's a good prof but the material is just hard. The first half of the course is insanely easy but randomly midway through(week 9?) it skyrockets in difficulty. The projects are insanely hard to the point where half the class doesn't do them. If you have a lab later in the week, good luck getting any help on projects. Tests are okay at least. | Quality: 3.0 | Difficulty: 4
[REVIEW] He great at teaching but makes you put in the work. He gives out study guides which are basically the exams. | Quality: 5.0 | Difficulty: 3
[REVIEW] By no means is he a controls engineer. Can not teach this class at all. Your better of reading the textbook. | Quality: 1.0 | Difficulty: 5
[REVIEW] I enjoyed Reckinger, but beware; he practically teaches from the textbook, ans seems to not be very good at figuring out when/why students don't understand things as well as him. If you have a good sense for math and ask questions then it can be fine, but if not then class can be a struggle. | Quality: 3.0 | Difficulty: 5
[REVIEW] Please read this carefully. This professor thinks that students have a bachelor's degree in computer science. If you have to take him, and you probably do, get ready to teach yourself the course. The zybook used in this class does not give detail, which is why most students had hard times on the exams. Get ready to put in TIME and effort. TIME. | Quality: 1.0 | Difficulty: 5
[REVIEW] He has no specilization in control sytems. Basically copies from Berniker's notes which he does not understand. Comes unprepared to lecture and races through the board. Has anger issues a lot and takes it out on the class. His exams are very tough and do not at all reflect the homework. Other UIC professors have said bad things about his teaching. | Quality: 1.0 | Difficulty: 5
[REVIEW] Worst professor. | Quality: 1.0 | Difficulty: 5
[REVIEW] Heavy workload. But I did learn many in class. To know basic knowledge better, I do need many practice. | Quality: 5.0 | Difficulty: 4
[REVIEW] He tried,he really did. The concepts in this class are actually pretty straightforward and easy after a couple of amazing youtube videos(Brian Douglas). In the beginning the class is nice and understandable and but towards the 2nd exam the class overall become messy. He doesn't do a great job explaining complex topics and expects you just &quot;know it&quot; | Quality: 1.0 | Difficulty: 4
[REVIEW] One of the worst professors in ME. All he does is scribble through the textbook and confuses himself and the whole class. This was his first time teaching 312. His grading rubric is one of the most strict I have seen. If it is not on the rubric then no points and he also does not give partial credit. Class is grade based on exams only and no curve. | Quality: 1.0 | Difficulty: 5
[REVIEW] Good professor; class concepts were very difficult for me. Tried my hardest by at least going for tutoring. Still performed poorly. The tests and projects were both complex. Honestly, knowing that the tests contain code writing, labs should be replaced with discussion so we get better experience at writing the code out. All I got was frustration. | Quality: 1.0 | Difficulty: 5
[REVIEW] I had some experience with C and C++ before taking this course. For a beginner level course, it seemed hard, not for me but for someone who really learns to program for the first time. The labs were hard. The tests are really tricky, and even though I felt confident with the material it was still tricky. I liked it because it was challenging. | Quality: 4.0 | Difficulty: 4
[REVIEW] He has a teaching style similar to Dr. Shulman (take that as you may). He gives a clear idea of what is expected on exams, and his hw is a lot, but does a good job in practicing the concepts, and theyre due weekly. I honestly think hes really good at explaining concepts but I guess I'm in the minority here. Go to class and do the hw and you good. | Quality: 4.0 | Difficulty: 2
[REVIEW] Reckinger is a very passionate teacher however his courses are overloaded with his pride. He likes to give students labs and projects that are very hard. These labs are hard because there is little guidance within and outside of class. He provides also provides a review guide without an answer key because that is what he believes in. Not the best. | Quality: 1.0 | Difficulty: 5
[REVIEW] Reckinger makes this class way harder than it needs to be. All he does is copy examples of equations from the book and does not explain it very well. Unfortunately he seems to think this is the only class as IEs we have to take. | Quality: 1.0 | Difficulty: 3
[REVIEW] He does a solid job in presenting the material but be aware that he does try to trick you on his lectures. As long as you study hard on his study guides, you should handle his exams just fine. My biggest complaint however is how many of the students had a hard time on his in lab exams. The projects were great but there were some that were very hard | Quality: 4.0 | Difficulty: 3
[REVIEW] He is nice prof. This class is super hard, constant work for intro class and never got good grade. I never seen this kind of class in my life. Labs, project and exams was hard. The only thing that I got from this class is stress. the class might discharge you like me, but don't give up b/c this is the only class you will straggle. | Quality: 3.0 | Difficulty: 5
[REVIEW] My favorite professor at UIC! Sure the homework and exams were all very difficult due to the amount of new application questions and lack of time to finish exams, but he curves exam grades generously so that the avg grade was a B. Lectures were quite clear and his in class notes are essential for passing the class | Quality: 5.0 | Difficulty: 4
[REVIEW] Would not recommend at all. Constant work for an intro class. Had to spend multiple hours a day on work just to receive poor grades. Lab every week and they are graded very roughly. Spend a lot of time in lectures learning about history of computers. Iclicker needed for every class. Would never take again. | Quality: 1.0 | Difficulty: 5
[REVIEW] Dr. Reckinger did a really good job teaching this class. Uses a lot of motivating examples for the material. The content can be a bit heavy at times, but looking at the lecture capture (and the book) always helped me out considering his attendance policy. Homework is graded on completion and effort, and he posts solutions right away. Recommended. | Quality: 5.0 | Difficulty: 3
